month,date,tier,bucket_name,unlock_tokens,unlock_pct_of_bucket,cumulative_tokens,cumulative_pct_of_bucket,notes
0,2020-01-15,tier_1_profit_seeking,Series A,375000,8.33,375000,8.33,Linear vesting begins (1/12)
0,2020-01-15,tier_1_profit_seeking,Series B,1433333,8.33,1433333,8.33,Linear vesting begins (1/12)
0,2020-01-15,tier_1_profit_seeking,CoinList Public Sale,175000,8.33,175000,8.33,Linear vesting begins (1/12)
0,2020-01-15,tier_1_profit_seeking,Strategic Reserve,36500000,100.00,36500000,100.00,Immediate 100% unlock at genesis
0,2020-01-15,tier_1_profit_seeking,Contributors/Team,833333,2.78,833333,2.78,Linear vesting begins (1/36)
0,2020-01-15,tier_2_entity_controlled,Platform Allocation,1666667,0.83,1666667,0.83,Linear vesting begins (1/120)
1,2020-02-15,tier_1_profit_seeking,Series A,375000,8.33,750000,16.67,Linear vesting (2/12)
1,2020-02-15,tier_1_profit_seeking,Series B,1433333,8.33,2866667,16.67,Linear vesting (2/12)
1,2020-02-15,tier_1_profit_seeking,CoinList Public Sale,175000,8.33,350000,16.67,Linear vesting (2/12)
1,2020-02-15,tier_1_profit_seeking,Contributors/Team,833333,2.78,1666667,5.56,Linear vesting (2/36)
1,2020-02-15,tier_2_entity_controlled,Platform Allocation,1666667,0.83,3333333,1.67,Linear vesting (2/120)
2,2020-03-15,tier_1_profit_seeking,Series A,375000,8.33,1125000,25.00,Linear vesting (3/12)
2,2020-03-15,tier_1_profit_seeking,Series B,1433333,8.33,4300000,25.00,Linear vesting (3/12)
2,2020-03-15,tier_1_profit_seeking,CoinList Public Sale,175000,8.33,525000,25.00,Linear vesting (3/12)
2,2020-03-15,tier_1_profit_seeking,Contributors/Team,833333,2.78,2500000,8.33,Linear vesting (3/36)
2,2020-03-15,tier_2_entity_controlled,Platform Allocation,1666667,0.83,5000000,2.50,Linear vesting (3/120)
3,2020-04-15,tier_1_profit_seeking,Series A,375000,8.33,1500000,33.33,Linear vesting (4/12)
3,2020-04-15,tier_1_profit_seeking,Series B,1433333,8.33,5733333,33.33,Linear vesting (4/12)
3,2020-04-15,tier_1_profit_seeking,CoinList Public Sale,175000,8.33,700000,33.33,Linear vesting (4/12)
3,2020-04-15,tier_1_profit_seeking,Contributors/Team,833333,2.78,3333333,11.11,Linear vesting (4/36)
3,2020-04-15,tier_2_entity_controlled,Platform Allocation,1666667,0.83,6666667,3.33,Linear vesting (4/120)
