month,date,tier,bucket_name,unlock_tokens,unlock_pct_of_bucket,cumulative_tokens,cumulative_pct_of_bucket,notes
0,2025-02-05,tier_1_profit_seeking,Seed Round 1,75000000,25.0,75000000,25.0,TGE unlock 25%
0,2025-02-05,tier_1_profit_seeking,Seed Round 2,0,0.0,0,0.0,12-month cliff begins
0,2025-02-05,tier_1_profit_seeking,Strategic Round,15000000,25.0,15000000,25.0,TGE unlock 25%
0,2025-02-05,tier_1_profit_seeking,Team,0,0.0,0,0.0,12-month cliff begins
0,2025-02-05,tier_2_entity_controlled,Foundation Reserve,19800000,2.0,19800000,2.0,TGE unlock 2%
0,2025-02-05,tier_2_entity_controlled,Development Company,45000000,25.0,45000000,25.0,TGE unlock 25%
0,2025-02-05,tier_3_community,Community Incentives,103500000,15.0,103500000,15.0,TGE unlock 15%
0,2025-02-05,tier_4_liquidity,Exchange Liquidity,60000000,100.0,60000000,100.0,100% at TGE - complete
0,2025-02-05,tier_4_liquidity,Testnet & Earn,80000000,100.0,80000000,100.0,100% at TGE (post-burn) - complete
1,2025-03-05,tier_1_profit_seeking,Seed Round 1,0,0.0,75000000,25.0,Cliff ongoing
1,2025-03-05,tier_1_profit_seeking,Seed Round 2,0,0.0,0,0.0,Cliff ongoing
1,2025-03-05,tier_1_profit_seeking,Strategic Round,0,0.0,15000000,25.0,Cliff ongoing
1,2025-03-05,tier_1_profit_seeking,Team,0,0.0,0,0.0,Cliff ongoing
1,2025-03-05,tier_2_entity_controlled,Foundation Reserve,0,0.0,19800000,2.0,Cliff ongoing
1,2025-03-05,tier_2_entity_controlled,Development Company,0,0.0,45000000,25.0,Cliff ongoing
1,2025-03-05,tier_3_community,Community Incentives,0,0.0,103500000,15.0,Cliff ongoing
2,2025-04-05,tier_1_profit_seeking,Seed Round 1,0,0.0,75000000,25.0,Cliff ongoing
2,2025-04-05,tier_1_profit_seeking,Seed Round 2,0,0.0,0,0.0,Cliff ongoing
2,2025-04-05,tier_1_profit_seeking,Strategic Round,0,0.0,15000000,25.0,Cliff ongoing
2,2025-04-05,tier_1_profit_seeking,Team,0,0.0,0,0.0,Cliff ongoing
2,2025-04-05,tier_2_entity_controlled,Foundation Reserve,0,0.0,19800000,2.0,Cliff ongoing
2,2025-04-05,tier_2_entity_controlled,Development Company,0,0.0,45000000,25.0,Cliff ongoing
2,2025-04-05,tier_3_community,Community Incentives,0,0.0,103500000,15.0,Cliff ongoing
3,2025-05-05,tier_1_profit_seeking,Seed Round 1,0,0.0,75000000,25.0,Cliff ongoing
3,2025-05-05,tier_1_profit_seeking,Seed Round 2,0,0.0,0,0.0,Cliff ongoing
3,2025-05-05,tier_1_profit_seeking,Strategic Round,0,0.0,15000000,25.0,Cliff ongoing
3,2025-05-05,tier_1_profit_seeking,Team,0,0.0,0,0.0,Cliff ongoing
3,2025-05-05,tier_2_entity_controlled,Foundation Reserve,0,0.0,19800000,2.0,Cliff ongoing
3,2025-05-05,tier_2_entity_controlled,Development Company,0,0.0,45000000,25.0,Cliff ongoing
3,2025-05-05,tier_3_community,Community Incentives,0,0.0,103500000,15.0,Cliff ongoing
4,2025-06-05,tier_1_profit_seeking,Seed Round 1,0,0.0,75000000,25.0,Cliff ongoing
4,2025-06-05,tier_1_profit_seeking,Seed Round 2,0,0.0,0,0.0,Cliff ongoing
4,2025-06-05,tier_1_profit_seeking,Strategic Round,0,0.0,15000000,25.0,Cliff ongoing
4,2025-06-05,tier_1_profit_seeking,Team,0,0.0,0,0.0,Cliff ongoing
4,2025-06-05,tier_2_entity_controlled,Foundation Reserve,0,0.0,19800000,2.0,Cliff ongoing
4,2025-06-05,tier_2_entity_controlled,Development Company,0,0.0,45000000,25.0,Cliff ongoing
4,2025-06-05,tier_3_community,Community Incentives,0,0.0,103500000,15.0,Cliff ongoing
5,2025-07-05,tier_1_profit_seeking,Seed Round 1,0,0.0,75000000,25.0,Cliff ongoing
5,2025-07-05,tier_1_profit_seeking,Seed Round 2,0,0.0,0,0.0,Cliff ongoing
5,2025-07-05,tier_1_profit_seeking,Strategic Round,0,0.0,15000000,25.0,Cliff ongoing
5,2025-07-05,tier_1_profit_seeking,Team,0,0.0,0,0.0,Cliff ongoing
5,2025-07-05,tier_2_entity_controlled,Foundation Reserve,0,0.0,19800000,2.0,Cliff ongoing
5,2025-07-05,tier_2_entity_controlled,Development Company,0,0.0,45000000,25.0,Cliff ongoing
5,2025-07-05,tier_3_community,Community Incentives,0,0.0,103500000,15.0,Cliff ongoing
6,2025-08-05,tier_1_profit_seeking,Seed Round 1,0,0.0,75000000,25.0,Cliff ongoing
6,2025-08-05,tier_1_profit_seeking,Seed Round 2,0,0.0,0,0.0,Cliff ongoing
6,2025-08-05,tier_1_profit_seeking,Strategic Round,0,0.0,15000000,25.0,Cliff ongoing
6,2025-08-05,tier_1_profit_seeking,Team,0,0.0,0,0.0,Cliff ongoing
6,2025-08-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,34500000,3.5,Cliff ends - linear vesting begins
6,2025-08-05,tier_2_entity_controlled,Development Company,3214000,1.8,48214000,26.8,Cliff ends - linear vesting begins
6,2025-08-05,tier_3_community,Community Incentives,13964000,2.0,117464000,17.0,Cliff ends - linear vesting begins
7,2025-09-05,tier_1_profit_seeking,Seed Round 1,0,0.0,75000000,25.0,Cliff ongoing
7,2025-09-05,tier_1_profit_seeking,Seed Round 2,0,0.0,0,0.0,Cliff ongoing
7,2025-09-05,tier_1_profit_seeking,Strategic Round,0,0.0,15000000,25.0,Cliff ongoing
7,2025-09-05,tier_1_profit_seeking,Team,0,0.0,0,0.0,Cliff ongoing
7,2025-09-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,49200000,5.0,Linear vesting
7,2025-09-05,tier_2_entity_controlled,Development Company,3214000,1.8,51428000,28.6,Linear vesting
7,2025-09-05,tier_3_community,Community Incentives,13964000,2.0,131428000,19.0,Linear vesting
8,2025-10-05,tier_1_profit_seeking,Seed Round 1,0,0.0,75000000,25.0,Cliff ongoing
8,2025-10-05,tier_1_profit_seeking,Seed Round 2,0,0.0,0,0.0,Cliff ongoing
8,2025-10-05,tier_1_profit_seeking,Strategic Round,0,0.0,15000000,25.0,Cliff ongoing
8,2025-10-05,tier_1_profit_seeking,Team,0,0.0,0,0.0,Cliff ongoing
8,2025-10-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,63900000,6.5,Linear vesting
8,2025-10-05,tier_2_entity_controlled,Development Company,3214000,1.8,54642000,30.4,Linear vesting
8,2025-10-05,tier_3_community,Community Incentives,13964000,2.0,145392000,21.1,Linear vesting
9,2025-11-05,tier_1_profit_seeking,Seed Round 1,0,0.0,75000000,25.0,Cliff ongoing
9,2025-11-05,tier_1_profit_seeking,Seed Round 2,0,0.0,0,0.0,Cliff ongoing
9,2025-11-05,tier_1_profit_seeking,Strategic Round,0,0.0,15000000,25.0,Cliff ongoing
